Hand_ID,Player,Series_Season,Episode,Episode_Timestamp,Tournament_Year,Tournament,Stage,Players_Remaining,Paid_Places,Blinds,Effective_Stack_bb,Hero_Position,Villain_Position,Hero_Hand,Villain_Hand,Preflop_Action,Flop,Flop_Action,Turn,Turn_Action,River,River_Action,Outcome,Spot_Type,Opponent_Type,Pressure_Type,Live_Read_or_Exploit,Key_Lesson,Graphic_Recreation_Status,Confidence,Source_Type,Primary_Source_URL,Secondary_Source_URL,Source_Notes,Study_Phase,Study_Day,Study_File,Integration
LM-004,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP22–EP24 range; timestamp pending,,2025,WSOP Main Event,Day 8 / last 20,,,"400,000/800,000, 800,000 ante",,Cutoff,Diego Ponce,Q♠Q♣,J♥J♣,"Margets raises to 1,600,000; Ponce jams 11,200,000; Margets calls.",K♣ 6♥ 3♦,Queens remain ahead.,2♣,No change.,9♠,Queens hold.,Margets eliminates Ponce in 19th place.,Premium pair vs short-stack jam,Short stack,Two-table / major pay jumps,No special read required.,"When stack geometry is clear, premium hands should not become victims of excessive ICM fear.",Complete enough for graphic recreation,High,Independent Day 8 recap,https://www.pokernews.com/tours/wsop/2025-wsop/event-81-10000-wsop-main-event/day8/?page=10,,"Exact hands, board, positions and sizing verified.",III,48,wsop-phase3-study.html,Interactive replayer
LM-005,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP24 candidate; timestamp pending,,2025,WSOP Main Event,Day 8 / last 16,,,"500,000/1,000,000, 1,000,000 ante",~30-40,Hijack,Small blind,J♦J♣,A♦K♥,"Margets opens to 2,000,000; Sergio Veloso jams 32,700,000; Margets calls.",A♣ Q♣ 9♠,Veloso takes the lead with top pair.,3♣,Margets picks up a flush draw.,2♣,Margets completes a runner-runner club flush.,Margets eliminates Veloso in 16th and wins nearly 70 million.,Massive preflop flip / survival and leverage,Strong opponent,Two-table / final-table approach,None — huge preflop race under maximum pressure.,Deep runs require winning major races; judge the decision separately from the spectacular runout.,Complete enough for graphic recreation,High,Independent Day 8 recap + follow-up report,https://www.pokernews.com/tours/wsop/2025-wsop/event-81-10000-wsop-main-event/day8/?page=12&rsort=1,https://www.poker.org/latest-news/crazy-runout-ships-massive-main-event-pot-to-leo-margets-aUt9F0v6JMCG/,"Exact hands, board, blinds and sizing verified.",III,52,wsop-phase3-study.html,Interactive replayer
LM-006,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP23–EP24 range; timestamp pending,,2025,WSOP Main Event,Day 8 / two tables,,,"600,000/1,200,000, 1,200,000 ante",~20,Hijack,Small blind / big blind,A♠K♣,Mizrachi Q♠J♠; Gregg 9♠8♥,"Margets opens to 2,400,000; Mizrachi calls small blind; Tony Gregg calls big blind.",9♦ 6♠ 3♠,"Mizrachi leads 5,000,000; Gregg folds top pair; Margets folds ace-king.",,,,,Mizrachi wins without showdown.,Multiway flop lead / disciplined overcard fold,Elite pro + short/medium stack,Two-table / major pay jumps,A large small-blind lead into two players carries substantial strength and equity pressure.,Late-stage multiway pots punish stubbornness: ace-king can be an easy fold when a strong player leads into multiple ranges.,Complete enough for graphic recreation,High,PokerNews live hand report,https://www.pokernews.com/tours/wsop/2025-wsop/event-81-10000-wsop-main-event/day8/?page=3,,"Exact hands, board, positions and sizing verified.",III,53,wsop-phase3-study.html,Interactive replayer
LM-007,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP26,,2025,WSOP Main Event,Final table / 7-handed,,,"1,000,000/2,000,000, 2,000,000 ante",19.8,Small blind,Big blind,A♥10♥,6♥6♠,"Hand #28: Margets limps; Hallaert jams; Margets calls off 39,600,000.",J♥ 7♠ 5♠,Hallaert's sixes remain ahead.,A♠,Margets takes the lead; Hallaert gains a flush draw.,9♠,Hallaert completes a spade flush.,Margets is eliminated in 7th place for $1.5 million.,Final-table all-in race,Elite/experienced opponent,Final-table ICM,Composure under maximum spotlight; no evidence of a live-read-driven decision.,Final-table greatness still passes through brutal flips. Process and stack geometry matter more than hindsight.,Complete enough for graphic recreation,High,Independent final-table report,https://www.pokernews.com/tours/wsop/2025-wsop/event-81-10000-wsop-main-event/day9/?page=2,https://www.poker.org/latest-news/monster-flip-shatters-leo-margets-wsop-main-event-dream-aCmmW2h0dgNe/,"Exact hand number, stack, cards, board and blind level verified.",III,53,wsop-phase3-study.html,Interactive replayer
SUP-001,Leo Margets,Supplemental — 2025 WSOP public analysis,Not part of EP11–EP26 extraction,,2025,WSOP Main Event,Day 1,,,,Deep,Lowjack,UTG+1,A4s,A10o,UTG+1 opens; Margets 3-bets lowjack; opener calls.,Q-T-9,Margets small c-bets; villain calls.,Unknown,Villain shows visible discomfort during continuing action.,A,Villain leads; Margets jams; villain folds.,Margets wins with a highly exploitative river raise/jam.,Exploit bluff / behavior read,Unknown amateur / non-elite opponent,Normal chip EV,Opponent appeared sincerely uncomfortable; live-read analysis suggested the jam may have been behavior-driven more than blocker-driven.,"Live behavior can unlock a bluff that pure theory may not choose, but the quality of the read is crucial.",Partial — turn card and exact sizing need source/video verification,High,Independent strategy analysis,https://www.gipsyteam.com/news/07-08-2025/balance-gto-lab,,"Included as supplemental material because it is not from the Leo EP11–EP26 run, but it is highly relevant to the casebook.",II,37,wsop-phase2-study.html,Interactive replayer
AM-008,Adrián Mateos,Inside the Mind of a Pro — 2024 WSOP,EP03,,2024,WSOP Main Event,Day 1,,,,~100 effective,Big blind,Hijack,86o,JJ,Hijack opens with about 100bb; Mateos defends the big blind with 86o.,Mateos flops second pair; exact board not preserved in parsed recap,"Mateos checks; hijack uses an unusually large 3,000 bet into 3,900; Mateos reads strength but calls.",Mateos improves to a second pair combination / 'third pair' on board; exact card unknown,"Mateos checks; hijack bets 5,000 into 9,900. Mateos makes a borderline call, expecting few river bluffs.",Unknown,Mateos checks; opponent immediately tables JJ without betting.,"Mateos loses at showdown, but gains confirmation that the opponent under-value-bets rivers.",One-pair bluff-catch / sizing read,Unknown live-field opponent,Normal chip EV,The oversized flop bet signaled strength. The instant river showdown revealed a passive value threshold and confirmed Mateos's expectation of few river bluffs.,"Treat unusual sizing as information, but plan the whole hand: a borderline turn call can be defensible when the opponent rarely bluffs rivers and may fail to value-bet thinly.",Partial — exact board and suits need video verification,High,Full written episode recap,https://www.gipsyteam.com/news/06-03-2025/inside-the-mind-of-a-pro-adrian-mateos-on-day-1-of-the-2024-wsop-main-event,https://www.youtube.com/watch?v=LOzYpTgw6n0,"Hero hand, villain hand, pots, bets and reasoning are explicit in the recap; board cards were image-only.",II,31,wsop-phase2-study.html,Interactive replayer
AM-009,Adrián Mateos,Inside the Mind of a Pro — 2024 WSOP,EP03,,2024,WSOP Main Event,Day 1,,,,Deep,Cutoff,Small blind and big blind,66,Small blind held a set; exact pair unknown,Mateos opens pocket sixes from the cutoff; both blinds call.,Unknown,"Into 4,500, Mateos makes a high-frequency protection c-bet of 1,100; small blind calls and big blind folds.",Draws reduce / board changes; exact card unknown,Small blind checks; Mateos checks back.,A strong value card for Mateos; exact rank unknown,"Into 6,700, Mateos considers an overbet but chooses 6,200 against an unknown opponent; small blind quickly folds a set.",Mateos wins without showdown; opponent makes a strong river fold.,Multiway protection c-bet / polarized river value,Unknown opponent,Normal chip EV,Mateos reduced the theoretically preferred overbet because he did not know whether the opponent could fold strong one-pair hands to extreme sizing.,"Use small flop bets to protect vulnerable pairs multiway, preserve showdown value on changing turns, then size large when the river creates a polarized value advantage.","Partial — exact board, suits and villain set need video verification",High,Full written episode recap,https://www.gipsyteam.com/news/06-03-2025/inside-the-mind-of-a-pro-adrian-mateos-on-day-1-of-the-2024-wsop-main-event,https://www.youtube.com/watch?v=LOzYpTgw6n0,"Pocket sixes, positions, pot sizes and all betting decisions are explicit; card images did not survive text parsing.",I,19,wsop-phase1-study.html,Interactive replayer
AM-010,Adrián Mateos,Inside the Mind of a Pro — 2024 WSOP,EP03,,2024,WSOP Main Event,Day 1,,,,~100 effective,Hijack,Early position,K5s,Unknown,A masked early-position player opens; Mateos makes a deliberately loose deep-stack call from the hijack with K5s; big blind also calls.,Unknown,"Big blind and raiser check; Mateos bets 1,500 into 4,800. Big blind folds and the raiser calls.",Trips-favoring card for the preflop raiser; exact card unknown,Villain checks. Mateos considers barreling but checks back because the card improves the raiser's range heavily.,Four cards to a ten-high straight,"Villain checks. Holding the bottom of his range, Mateos bets 7,700 into 7,800 to represent a straight; villain quickly folds.",Mateos wins with a near-pot river bluff.,Deep speculative call / polarized river bluff,Unknown deep-stacked opponent,Normal chip EV,Mateos identified many automatic folds after the small flop call and used a river where his value range could credibly be almost entirely straights.,"When you reach the river with the absolute bottom of your range, ask whether the runout gives you a credible polarized story and enough natural folds to justify a large bluff.",Partial — exact board and suits need video verification,High,Full written episode recap,https://www.gipsyteam.com/news/06-03-2025/inside-the-mind-of-a-pro-adrian-mateos-on-day-1-of-the-2024-wsop-main-event,https://www.youtube.com/watch?v=LOzYpTgw6n0,"Hero hand, positions, pots, action and outcome are explicit; board ranks were supplied as images in the source.",II,25,wsop-phase2-study.html,Interactive replayer + Gym drill D-07
LM-008,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP11–EP13 range; timestamp pending,,2025,WSOP Main Event,Day 4 / ITM area,,,"6,000/12,000, 12,000 ante",,Under the gun,Big blind,,,"Margets raises to 25,000; Philippe Noble defends.",2♦ 6♥ 3♠,"Margets bets 17,000; Noble check-raises to 73,000; Margets calls.",3♣,"Noble checks; Margets bets 55,000; Noble check-raises all in for about 400,000; Margets folds instantly.",,,Margets avoids a major stack loss after facing a second check-raise.,Aggressive turn stab / disciplined fold to serious response,Unknown opponent,ITM chip EV,The second check-raise is an extremely value-heavy live line.,"Take the initiative when checked to, but do not become married to it. A second check-raise is a clean exit signal.",Partial — hole cards unknown,High,PokerNews live hand report,https://www.pokernews.com/tours/wsop/2025-wsop/event-81-10000-wsop-main-event/day4/?highlights=1&page=4&rsort=1,,Exact board and action verified; hole cards unreported.,III,55,wsop-phase3-study.html,Aggression Gym drill D-05
LM-009,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP16 candidate; timestamp pending,,2025,WSOP Main Event,Day 6 / last 202,,,"30,000/60,000, 60,000 ante",,Cutoff,Middle position,A♦7♦,J♦10♦,"Bradley Jansen opens to 125,000; Margets three-bets to 400,000; Jansen calls.",6♦ 4♣ A♠,"Jansen checks; Margets bets 175,000; Jansen folds.",,,,,Margets wins with a small c-bet in a three-bet pot.,Repeatable aggression / three-bet and small c-bet,Competent opener capable of folding,Last-200 chip EV,The target opens wide enough to contain folds and then arrives at the flop with a capped calling range.,"Choose an opener who can fold, three-bet with a blocker hand, then use a small c-bet. If four-bet or strongly check-raised, release.",Complete enough for graphic recreation,High,PokerNews live hand report,https://www.pokernews.com/tours/wsop/2025-wsop/event-81-10000-wsop-main-event/day6/?page=5&rsort=1,,"Exact hands, positions, board and sizing verified.",III,55,wsop-phase3-study.html,Aggression Gym drill D-01
LM-010,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP17–EP18 range; timestamp pending,,2025,WSOP Main Event,Day 6 / late session,,,"100,000/150,000, 150,000 ante",,Middle position,Small blind,A♣Q♣,Q♥J♥,"Margets opens to 300,000; Diego Ponce calls small blind.",4♠ 8♥ 8♠,"Ponce checks; Margets bets 275,000; Ponce calls.",5♦,"Ponce leads 1,100,000; Margets folds.",,,Ponce wins after a sudden large turn lead.,C-bet then fold to serious turn response,Strong deep-run opponent,Day-6 pay-jump pressure,A large turn donk after check-calling a paired flop is highly value-weighted.,"Take the normal aggressive flop line, but a credible large turn lead is permission to stop.",Complete enough for graphic recreation,High,PokerNews live hand report,https://www.pokernews.com/tours/wsop/2025-wsop/event-81-10000-wsop-main-event/day6/?page=2,,"Exact hands, board, positions and sizing verified.",II,31,wsop-phase2-study.html,Interactive replayer
LM-011,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP19–EP20 range; timestamp pending,,2025,WSOP Main Event,Day 7 / last 43,,,"125,000/250,000, 250,000 ante",,,Early position,,,"Paul Gibbons opens; Margets three-bets to 1,125,000; Gibbons calls.",Q♦ 10♦ 4♠,Check-check.,8♦,Check-check.,J♥,"Gibbons checks; Margets bets 1,700,000; Gibbons folds quickly.",Margets wins with delayed river pressure.,Three-bet pot / delayed aggression,Capped caller capable of folding,Last-50 pay-jump pressure,Two checked streets leave the caller with many capped one-pair and ace-high holdings.,"Aggression can be delayed. Preserve range credibility, then attack a capped opponent when the river favours your range.",Partial — hole cards unknown,High,PokerNews live hand report,https://www.pokernews.com/tours/wsop/2025-wsop/event-81-10000-wsop-main-event/day7/?page=17,,Exact board and action verified; cards unreported.,II,22,wsop-phase2-study.html,Interactive replayer
LM-012,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP20 candidate; timestamp pending,,2025,WSOP Main Event,Day 7 / last 40,,,"150,000/300,000, 300,000 ante",,Hijack,Cutoff,9♠9♣,A♦7♦,"Margets opens to 600,000; Mizrachi three-bets to 1,350,000; Margets calls.",10♥ 4♣ 2♣,"Margets checks; Mizrachi bets 725,000; Margets calls.",5♣,"Margets checks; Mizrachi bets 1,600,000; Margets calls.",K♥,"Margets checks; Mizrachi jams 10,975,000; Margets folds quickly.",Mizrachi wins with a three-street bluff; Margets preserves her stack.,Bluff-catch twice / disciplined river exit,Elite aggressive opponent,Last-40 pay-jump pressure,The river king and all-in sizing transform the decision despite two earlier calls.,Continuing twice is not a commitment to call the river. Fold when the response becomes maximally polarized.,Complete enough for graphic recreation,High,PokerNews live hand report,https://www.pokernews.com/tours/wsop/2025-wsop/event-81-10000-wsop-main-event/day7/?page=12,,"Exact hands, board and sizing verified.",I,11,wsop-phase1-study.html,Interactive replayer
LM-013,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP20 candidate; timestamp pending,,2025,WSOP Main Event,Day 7 / last 37,,,"150,000/300,000, 300,000 ante",11.7 villain,Cutoff,Hijack,A♥Q♦,K♠K♥,"Paul Gibbons jams 3,500,000; Margets calls from the cutoff.",6♦ 9♥ A♣,Margets takes the lead.,5♣,No change.,9♦,Aces hold.,Margets eliminates Gibbons in 37th place.,Short-stack call-off,Short stack,Last-40 pay-jump pressure,,"Against an approximately 12bb hijack jam, AQ is strong enough to call despite sometimes meeting the top of range.",Complete enough for graphic recreation,High,PokerNews live hand report,https://www.pokernews.com/tours/wsop/2025-wsop/event-81-10000-wsop-main-event/day7/?page=12,,"Exact hands, board and shove size verified.",III,48,wsop-phase3-study.html,Interactive replayer
LM-014,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP20–EP21 range; timestamp pending,,2025,WSOP Main Event,Day 7 / last 40,,,"150,000/300,000, 300,000 ante",20.2,Small blind,Big blind,7♠7♦,A♠10♠,"Guerra opens cutoff; Margets calls small blind; Mizrachi squeezes to 2,500,000; Guerra folds; Margets jams 6,050,000; Mizrachi calls.",7♣ K♦ J♥,Margets flops a set.,10♥,Mizrachi improves but remains behind.,9♦,Set holds.,Margets doubles through Mizrachi.,Back-jam after squeeze,Elite aggressive opponent,Last-40 survival pressure,The opener's dead money and an aggressive squeezer create a profitable reshove target.,Choose aggressive squeezers as targets. A medium pair can back-jam at 20bb when dead money is substantial.,Complete enough for graphic recreation,High,PokerNews live hand report,https://www.pokernews.com/tours/wsop/2025-wsop/event-81-10000-wsop-main-event/day7/?highlights=1&page=5&rsort=1,,"Exact hands, stack, board and sequence verified.",III,46,wsop-phase3-study.html,Interactive replayer
LM-015,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP21 candidate; timestamp pending,,2025,WSOP Main Event,Day 7 / final 24 area,,,"200,000/400,000, 400,000 ante",,Small blind,Early position,A♠J♣,A♥A♦,"Joey Padron opens to 1,000,000; Margets three-bets to 3,000,000; Padron jams 12,450,000; Margets folds.",,,,,,,Margets correctly releases ace-jack against aces.,Repeatable aggression / three-bet then fold to four-bet jam,Opponent whose open can contain folds,Final-24 pay-jump pressure,"The initial target is reasonable, but the four-bet jam is a serious uncapped response.","The perfect model: take the aggressive line, then fold without ego when the opponent responds credibly.",Complete enough for preflop graphic,High,PokerNews live hand report,https://www.pokernews.com/tours/wsop/2025-wsop/event-81-10000-wsop-main-event/day7/?page=27&rsort=1,,"Exact cards, positions and all sizes verified.",III,55,wsop-phase3-study.html,Aggression Gym drill D-02
LM-016,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP22 candidate; timestamp pending,,2025,WSOP Main Event,Day 8 / last 24,,,"300,000/600,000, 600,000 ante",~26,Small blind,Button,A♣4♥,K♥10♣,"Richard Freitas opens button to 1,200,000; Margets three-bets small blind to 4,000,000; Freitas folds.",,,,,,,Margets wins preflop.,Repeatable aggression / blind three-bet,Wide button opener capable of folding,Final-24 pay-jump pressure,Ace-x blocks strong continuing hands and attacks a naturally wide button range.,"Choose wide late-position openers. Three-bet blocker hands, but fold to a serious four-bet unless stack geometry dictates otherwise.",Complete enough for preflop graphic,High,PokerNews live hand report,https://www.pokernews.com/tours/wsop/2025-wsop/event-81-10000-wsop-main-event/day8/?page=15,,"Exact hands, positions, blinds and sizing verified.",III,55,wsop-phase3-study.html,Aggression Gym drill D-03
